Date,Home,Away,bookie,1,X,2,Yes,No,Over,Under
2025-02-27,West Ham,Leicester,10bet,1.7,3.85,4.75,1.67,2.1,1.7,2.1
2025-02-27,West Ham,Leicester,10x10bet,1.73,4.0,5.0,1.73,2.1,1.77,2.15
2025-02-27,West Ham,Leicester,1xBet,1.72,4.17,4.89,1.69,2.11,1.78,2.16
2025-02-27,West Ham,Leicester,22Bet,1.68,4.06,4.76,1.69,2.11,1.73,2.11
2025-02-27,West Ham,Leicester,Alphabet,1.72,3.99,4.9,1.74,2.14,1.76,2.14
2025-02-27,West Ham,Leicester,BC.Game,1.75,4.05,4.65,,,,
2025-02-27,West Ham,Leicester,BetInAsia,1.72,4.05,4.95,1.76,2.15,1.76,2.21
2025-02-27,West Ham,Leicester,Betfair,1.7,3.9,4.75,1.7,2.15,1.73,2.05
2025-02-27,West Ham,Leicester,Betfury,1.75,4.05,4.65,,,,
2025-02-27,West Ham,Leicester,Bets.io,1.71,3.8,4.7,1.71,2.06,1.71,2.15
2025-02-27,West Ham,Leicester,Betsafe,1.72,4.1,4.85,1.7,2.17,1.73,2.17
2025-02-27,West Ham,Leicester,Betsson,1.72,4.1,4.85,1.7,2.17,1.73,2.17
2025-02-27,West Ham,Leicester,Betway,1.7,4.0,4.5,1.7,2.1,1.7,2.1
2025-02-27,West Ham,Leicester,Cloudbet,1.71,4.04,4.93,1.76,2.14,1.76,2.14
2025-02-27,West Ham,Leicester,Coins.game,1.69,3.89,4.8,,,1.73,2.1
2025-02-27,West Ham,Leicester,Dafabet,1.7,3.9,4.85,,,1.72,2.21
2025-02-27,West Ham,Leicester,Duelbits,1.71,3.95,4.75,1.74,2.1,1.71,2.1
2025-02-27,West Ham,Leicester,GGBET,1.72,4.06,4.98,1.76,2.03,1.77,2.14
2025-02-27,West Ham,Leicester,NordicBet,1.72,4.1,4.85,1.7,2.17,1.73,2.17
2025-02-27,West Ham,Leicester,Pinnacle,1.72,4.05,4.94,1.76,2.15,1.76,2.15
2025-02-27,West Ham,Leicester,Unibet,1.71,3.85,4.75,1.67,2.14,1.71,2.1
2025-02-27,West Ham,Leicester,VOBET,1.74,4.1,5.0,1.73,2.1,1.77,2.17
2025-02-27,West Ham,Leicester,William Hill,1.73,3.9,4.6,1.75,2.0,,
2025-02-27,West Ham,Leicester,bet-at-home,1.7,4.0,4.9,1.65,2.15,1.73,2.1
2025-02-27,West Ham,Leicester,bet365,1.7,4.0,4.75,1.7,2.05,1.73,2.1
2025-03-08,Nottingham,Manchester City,10bet,3.45,3.7,1.96,1.5,2.4,1.6,2.3
2025-03-08,Nottingham,Manchester City,10x10bet,3.69,3.82,1.97,1.57,2.4,1.65,2.35
2025-03-08,Nottingham,Manchester City,1xBet,3.73,4.02,1.97,1.53,2.43,1.64,2.4
2025-03-08,Nottingham,Manchester City,22Bet,3.62,3.9,1.92,1.53,2.43,1.6,2.34
2025-03-08,Nottingham,Manchester City,Alphabet,3.65,3.77,1.96,1.58,2.44,1.64,2.34
2025-03-08,Nottingham,Manchester City,BC.Game,3.65,3.75,1.95,,,,
2025-03-08,Nottingham,Manchester City,BetInAsia,3.71,3.85,2.0,,,1.66,2.31
2025-03-08,Nottingham,Manchester City,Betfair,3.75,3.7,1.91,1.53,2.45,1.57,2.25
2025-03-08,Nottingham,Manchester City,Betfury,3.65,3.75,1.95,,,,
2025-03-08,Nottingham,Manchester City,Bets.io,3.5,3.65,1.96,1.54,2.38,1.55,2.29
2025-03-08,Nottingham,Manchester City,Betsafe,3.65,3.85,2.02,1.54,2.49,1.62,2.37
2025-03-08,Nottingham,Manchester City,Betsson,3.65,3.85,2.02,1.54,2.49,1.62,2.37
2025-03-08,Nottingham,Manchester City,Betway,3.4,3.75,1.91,1.55,2.4,1.57,2.25
2025-03-08,Nottingham,Manchester City,Coins.game,3.56,3.69,1.93,,,,
2025-03-08,Nottingham,Manchester City,Dafabet,3.35,3.7,1.96,,,,
2025-03-08,Nottingham,Manchester City,Duelbits,3.5,3.75,1.97,1.55,2.41,1.57,2.27
2025-03-08,Nottingham,Manchester City,GGBET,3.68,3.82,1.98,1.55,2.32,1.59,2.38
2025-03-08,Nottingham,Manchester City,NordicBet,3.65,3.85,2.02,1.54,2.49,1.62,2.37
2025-03-08,Nottingham,Manchester City,Pinnacle,3.71,3.78,1.97,,,1.65,2.31
2025-03-08,Nottingham,Manchester City,Unibet,3.6,3.8,1.95,1.5,2.45,1.57,2.38
2025-03-08,Nottingham,Manchester City,VOBET,3.73,3.86,1.99,1.57,2.4,1.66,2.36
2025-03-08,Nottingham,Manchester City,William Hill,3.5,3.8,1.95,1.5,2.45,,
2025-03-08,Nottingham,Manchester City,bet-at-home,3.7,3.75,1.95,1.48,2.45,1.58,2.35
2025-03-08,Nottingham,Manchester City,bet365,3.7,3.6,1.95,1.53,2.38,1.62,2.3
